Entry,Date,Sequence length,is_backwards,is_completed,streak_so_far,Time
0,25/03/2021,8,1,0,0,
1,26/03/2021,8,0,1,8,
2,26/03/2021,9,0,1,9,
3,26/03/2021,10,0,0,9,
4,26/03/2021,7,1,1,7,
5,26/03/2021,8,1,1,8,
6,26/03/2021,9,1,1,9,
7,26/03/2021,10,1,0,9,
8,28/03/2021,7,1,1,7,
9,28/03/2021,8,1,0,7,
10,28/03/2021,5,0,1,5,
11,28/03/2021,6,0,1,6,
12,28/03/2021,7,0,0,6,
13,16/04/2021,4,0,1,4,
14,16/04/2021,11,0,0,0,
15,16/04/2021,6,1,1,6,
16,19/04/2021,9,0,0,0,
17,19/04/2021,8,1,1,8,
18,19/04/2021,9,1,0,8,
19,18/07/2021,5,0,1,5,15.0
20,18/07/2021,6,0,0,5,15.0
21,18/07/2021,2,1,1,2,15
